0,1,2,3,4,5,6
Rothko,Scar,RumbaChonta,RumbaChonta,RunRunRun,RumbaChonta,RunRunRun
Running,SchoolboyFascination,Running,Running,Running,RunRunRun,Running
Scar,Semantics,SchoolboyFascination,Semantics,Scar,Running,Scar
SchoolboyFascination,Shore,SeaOfLeaves,Shore,SeaOfLeaves,Scar,SeaOfLeaves
Semantics,Signs,Semantics,Signs,Semantics,SchoolboyFascination,Semantics
Shore,Siren,Shore,Siren,Shore,SeaOfLeaves,Shore
Signs,SixtyFourBristol,Signs,SlowDown,Siren,Semantics,SixtyFourBristol
Siren,SlowDown,Siren,SoEasy,SixtyFourBristol,Siren,SlowDown
SixtyFourBristol,SoEasy,SlowDown,Sometimes,SlowDown,SixtyFourBristol,Spaces
SlowDown,StillFlyin,SoEasy,Spaces,Sometimes,SoEasy,StillFlyin
SoEasy,SuitYou,Sometimes,StillFlyin,Spaces,Sometimes,SuitYou
Sometimes,TakeItOff,Spaces,StitchUp,StillFlyin,StillFlyin,TakeItOff
StillFlyin,TearsInTheRain,StillFlyin,SuitYou,StitchUp,SuitYou,TalkToMeBaby
StitchUp,ThatsEntertainment,StitchUp,TalkToMeBaby,SuitYou,TalkToMeBaby,ThatsEntertainment
TakeItOff,TheBluesIsALady,TakeItOff,TearsInTheRain,TakeItOff,TearsInTheRain,TheBluesIsALady
ThatsEntertainment,TheDice,TalkToMeBaby,ThatsEntertainment,ThatsEntertainment,ThatsEntertainment,TheDice
TheBluesIsALady,TheGlass,TheLastStand,TheBluesIsALady,TheDice,TheBluesIsALady,TheGlass
TheDice,TheLastStand,TheLongWait,TheDice,TheLastStand,TheRoadAhead,TheLastStand
TheGlass,TheLongWait,TheRoadAhead,TheGlass,TheLongWait,TimesUp,TheLongWait
TimesUp,TheRoadAhead,ThroughMyEyes,TheLastStand,TimesUp,Tiptoe,ThroughMyEyes
Tiptoe,ThroughMyEyes,TimesUp,ThroughMyEyes,Tiptoe,Tiring,Tiptoe
Tiring,TimesUp,Tiring,TimesUp,Tiring,TooBright,Tiring
TooBright,Tiring,TooBright,Tiptoe,TooBright,TrudeTheBumblebee,TooBright
TrudeTheBumblebee,TooBright,TrudeTheBumblebee,Ubiquitous,TrudeTheBumblebee,Ubiquitous,TrudeTheBumblebee
Ubiquitous,TrudeTheBumblebee,Ubiquitous,Verdi,Ubiquitous,Verdi,Ubiquitous
Verdi,Ubiquitous,Waves,Waves,Verdi,Waves,Verdi
Waves,Verdi,WhoIAm,WhoIAm,WhoIAm,WhoIAm,Waves
WhoIAm,Waves,WhyDontYouStay,WhyDontYouStay,WhyDontYouStay,WhyDontYouStay,WhoIAm
WhyDontYouStay,Widow,Widow,Widow,Widow,Widow,WhyDontYouStay
Widow,Window,Window,Window,Window,Window,Widow
Window,WolfsHead,WolfsHead,WolfsHead,WolfsHead,WolfsHead,WolfsHead
WordGetsAround,WordGetsAround,WordGetsAround,WordGetsAround,WordGetsAround,WordGetsAround,WordGetsAround
YouKnowBetter,YouKnowBetter,YouKnowBetter,YouKnowBetter,YouKnowBetter,YouKnowBetter,YouKnowBetter
